feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Citrobacter	Sequencing_Run	May_2018	6.05967877247523	0.691710685801451	88	15	2.5977578669393e-13	1.70932467644606e-10
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Colidextribacter	Sequencing_Run	Dec_2018	-2.8030515665679	0.333837355908464	88	65	3.36861646350167e-10	1.10827481649205e-07
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__GCA.900066755	Sex	Male	2.30205606039391	0.296866816919666	88	23	1.69922769408174e-09	3.72697274235261e-07
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Escherichia.Shigella	Type	Mucosal	3.52574257915888	0.563766735811794	88	79	1.84544207405513e-08	3.03575221182068e-06
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides	Sequencing_Run	Dec_2018	7.70805148690508	1.08950075009398	88	63	2.71062491396009e-08	3.56718238677148e-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium..fissicatena.group	Sequencing_Run	Dec_2018	-2.57610812753116	0.378471662717697	88	43	3.91227105766792e-08	3.86730303901432e-06
k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Holdemania	Sequencing_Run	Oct_2017	-3.66715087801226	0.53780415811132	88	51	4.11415216916417e-08	3.86730303901432e-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__	Sequencing_Run	Oct_2017	-3.78450621628024	0.596126898320071	88	60	1.76114548235085e-07	1.44854215923358e-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__	Sex	Male	-2.72522000113113	0.452767387966347	88	60	4.24978013869757e-07	3.10706147918111e-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium..fissicatena.group	Sequencing_Run	Dec_2017	-2.01682023824266	0.345175479888524	88	43	6.53408645164225e-07	4.2994288851806e-05
k__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae.g__Akkermansia	Sex	Male	-4.50763701418648	0.846611879966802	88	66	4.70529308967915e-06	0.000278549235878328
k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.g__Coprobacillus	Sequencing_Run	Dec_2017	2.6744505680506	0.508927977500154	88	33	5.0799252743768e-06	0.000278549235878328
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Colidextribacter	Type	Mucosal	-0.894084218366893	0.172819224100272	88	65	5.84406067107928e-06	0.000295799378582321
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Coprococcus	Sequencing_Run	Dec_2017	2.26452688093161	0.481998581078922	88	32	2.6078586018005e-05	0.00122569354284623
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Tyzzerella	Sex	Male	1.2133889897984	0.256927490194386	88	6	2.91546658535977e-05	0.00127891800877782
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium..fissicatena.group	Sequencing_Run	May_2018	-1.77603971882517	0.387179813061036	88	43	3.42709903121431e-05	0.00128007199357921
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Acidaminococcales.f__Acidaminococcaceae.g__Phascolarctobacterium	Sequencing_Run	April_2017	4.61177732855426	1.04098977906154	88	15	3.50171669976077e-05	0.00128007199357921
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__GCA.900066755	Sequencing_Run	Dec_2018	-1.63977445728333	0.349619297581082	88	23	3.31213764418339e-05	0.00128007199357921
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	Type	Mucosal	-1.61075183668079	0.350394029606225	88	88	3.70857261381408e-05	0.00128433725257351
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Fournierella	Type	Mucosal	-0.613655211452559	0.135977397447122	88	35	4.85158881046138e-05	0.00159617271864179
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae.g__Odoribacter	Sequencing_Run	Dec_2017	2.8798011368899	0.642910058008215	88	28	6.12065152696683e-05	0.00175103856728008
k__Bacteria.p__Firmicutes.c__Clostridia.o__.f__.g__	Sex	Male	1.14528624517999	0.25275906999998	88	14	6.0870254042352e-05	0.00175103856728008
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium..hallii.group	Sequencing_Run	April_2017	3.31881318868456	0.778340475597395	88	7	5.78154880455594e-05	0.00175103856728008
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Colidextribacter	Sequencing_Run	Dec_2017	-1.35375442882028	0.306930477674226	88	65	7.50878742062611e-05	0.00205865921782166
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__	Sequencing_Run	Oct_2017	-2.88773847614033	0.654785368552287	88	38	8.1720010419559e-05	0.00215087067424279
k__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae.g__Akkermansia	Sequencing_Run	Oct_2017	-4.89349315227803	1.10991833118153	88	66	8.67902101277517e-05	0.0021964599332331
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Roseburia	Sequencing_Run	Dec_2018	3.5307991491157	0.810197879682672	88	28	9.22370107403852e-05	0.00224785011359902
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Intestinimonas	Type	Mucosal	-0.762555968109278	0.177804703222859	88	65	0.000100872075643997	0.00237049377763392
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Fournierella	Sequencing_Run	Dec_2017	1.59852479548997	0.375786422340316	88	35	0.000109613156140345	0.00248708471518437
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Roseburia	Sex	Male	-2.89329611538324	0.682490471697999	88	28	0.000125155082060808	0.00265651754825843
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Burkholderia.Caballeronia.Paraburkholderia	Sequencing_Run	April_2017	3.18647548082192	0.788512703156178	88	5	0.000121474879194783	0.00265651754825843
k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.g__Erysipelatoclostridium	Type	Mucosal	1.36715983411334	0.328263464367607	88	57	0.000166509721734264	0.0034238561531608
