feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
MF0093	Sequencing_Run	May_2018	5.65718540930552	0.606432476462011	86	6	2.2226070389217e-14	1.2802216544189e-11
MF0062	Sequencing_Run	May_2018	5.15074297787736	0.701710009797524	86	5	1.65917790227792e-10	4.41493135381672e-08
MF0095	Type	Mucosal	-0.718744045237945	0.0870526955667951	86	85	2.29944341344621e-10	4.41493135381672e-08
MF0028	Type	Mucosal	-0.658290412655413	0.0824827509141279	86	86	5.87875598795929e-10	6.77232689812911e-08
MF0026	Type	Mucosal	-0.545477685673704	0.0679199006365123	86	86	5.04464538080278e-10	6.77232689812911e-08
MF0006	Type	Mucosal	-0.867263590589787	0.129622344367342	86	86	2.89850345521737e-09	2.76293150041833e-07
MF0015	Type	Mucosal	0.718639123665386	0.096718395588035	86	56	3.3577292539806e-09	2.76293150041833e-07
MF0077	Type	Mucosal	1.42341931134322	0.194724522857548	86	16	4.96180815780544e-09	3.57250187361992e-07
MF0069	Type	Mucosal	2.53669703987574	0.355690449638308	86	16	8.90122488468672e-09	5.15060092102543e-07
MF0082	Type	Mucosal	2.81083321923188	0.394163029171639	86	16	8.94201548789138e-09	5.15060092102543e-07
MF0076	Type	Mucosal	1.21319843617149	0.172260742919941	86	16	1.20626831053028e-08	5.71101659363327e-07
MF0059	Type	Mucosal	1.64311199576387	0.234004948501868	86	17	1.28894471731306e-08	5.71101659363327e-07
MF0009	Type	Mucosal	-0.654261445533354	0.092967946826573	86	86	1.21351912735834e-08	5.71101659363327e-07
MF0063	Type	Mucosal	-0.368296433824043	0.0588579552341094	86	86	1.88712777974552e-08	7.27592081583855e-07
MF0047	Type	Mucosal	-0.379913903519264	0.0548896042028406	86	86	1.89477104579129e-08	7.27592081583855e-07
MF0041	Type	Mucosal	0.688597939482807	0.101336679027641	86	33	2.98633743264507e-08	1.07508147575223e-06
MF0079	Type	Mucosal	2.31983728603144	0.346127054478994	86	16	3.74335207891784e-08	1.26833576320981e-06
MF0084	Type	Mucosal	2.69309604465011	0.405603178241894	86	16	4.55659215847123e-08	1.31229854163972e-06
MF0080	Sequencing_Run	Dec_2017	4.66869220727728	0.76959188795047	86	0	4.25928994403378e-08	1.31229854163972e-06
MF0052	Type	Mucosal	2.69361193036874	0.405599237174011	86	16	4.53659371207444e-08	1.31229854163972e-06
MF0058	Type	Mucosal	2.38567638648366	0.36295322509957	86	19	5.65984758557241e-08	1.552415337757e-06
MF0012	Type	Mucosal	0.776147991740564	0.117449188670574	86	45	8.03503478512868e-08	2.10371819828824e-06
MF0003	Type	Mucosal	-0.483372011410945	0.0762951446170243	86	74	1.44869673309494e-07	3.33779727305075e-06
MF0056	Type	Mucosal	-0.893613617231485	0.141815590502302	86	80	1.37182223830873e-07	3.33779727305075e-06
MF0054	Type	Mucosal	-0.486214009231913	0.077249566149256	86	82	1.39902404721903e-07	3.33779727305075e-06
MF0036	Type	Mucosal	0.664229877870915	0.108156245418739	86	48	2.33713572722814e-07	5.17765453416695e-06
MF0035	Type	Mucosal	-0.328465455216995	0.0585676400743274	86	86	2.90182041829386e-07	6.19055022569356e-06
MF0038	Type	Mucosal	-0.31728132162148	0.0529520602110325	86	86	4.23335806559113e-07	8.70862230635891e-06
MF0002	Type	Mucosal	-0.395369737828762	0.0663162342933685	86	86	4.44686554074379e-07	8.83239500506352e-06
MF0063	Sex	Male	-0.448167956302185	0.0823340412946651	86	86	5.71367588727429e-07	1.07346091164519e-05
MF0055	Type	Mucosal	0.47820860247426	0.0803059009751871	86	72	5.77730698975708e-07	1.07346091164519e-05
MF0089	Type	Mucosal	0.792881491309657	0.135431878891476	86	12	6.19875409313631e-07	1.11577573676454e-05
MF0086	Type	Mucosal	-0.291432484813178	0.0501028062037114	86	86	7.63206803882529e-07	1.32370739092376e-05
